program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/Division;3;0;25000;1000;0;0:00:52.435;7300023;52.74;1441;5.12
Benchmarks/Division;3;0;25000;1000;0;0:00:46.639;7300023;46.91;1381;4.87
Benchmarks/Division;3;0;25000;1000;0;0:00:46.097;7300023;46.38;1398;4.82
Benchmarks/Division;3;0;25000;1000;0;0:00:51.495;7300023;51.80;1328;5.02
Benchmarks/Division;3;0;25000;1000;0;0:00:48.394;7300023;48.68;1368;4.98
Benchmarks/Division;3;0;25000;1000;0;0:00:48.561;7300023;48.85;1349;4.81
Benchmarks/Division;3;0;25000;1000;0;0:00:47.528;7300023;47.82;1329;4.93
Benchmarks/Division;3;0;25000;1000;0;0:00:47.205;7300023;47.50;1326;4.81
Benchmarks/Division;3;0;25000;1000;0;0:00:45.887;7300023;46.17;1323;4.85
Benchmarks/Division;3;0;25000;1000;0;0:00:46.388;7300023;46.67;1416;4.91
Benchmarks/Division;3;0;10000;1000;0;0:00:46.878;7300023;47.08;1347;4.83
Benchmarks/Division;3;0;10000;1000;0;0:00:49.599;7300023;49.81;1407;4.92
Benchmarks/Division;3;0;10000;1000;0;0:00:47.182;7300023;47.45;1362;4.81
Benchmarks/Division;3;0;10000;1000;0;0:00:51.644;7300023;51.93;1415;4.89
Benchmarks/Division;3;0;10000;1000;0;0:00:47.250;7300023;47.52;1420;4.93
Benchmarks/Division;3;0;10000;1000;0;0:00:48.377;7300023;48.58;1439;4.72
Benchmarks/Division;3;0;10000;1000;0;0:00:52.486;7300023;52.69;1420;5.11
Benchmarks/Division;3;0;10000;1000;0;0:00:47.841;7300023;48.14;1257;4.74
Benchmarks/Division;3;0;10000;1000;0;0:00:49.542;7300023;49.72;1347;4.68
Benchmarks/Division;3;0;10000;1000;0;0:00:52.590;7300023;52.87;1439;4.82
Benchmarks/Division;3;0;1000;1000;0;0:00:45.768;7300023;45.97;1440;5.05
Benchmarks/Division;3;0;1000;1000;0;0:00:46.166;7300023;46.47;1322;5.01
Benchmarks/Division;3;0;1000;1000;0;0:00:47.269;7300023;47.56;1262;4.86
Benchmarks/Division;3;0;1000;1000;0;0:00:50.278;7300023;50.48;1426;5.00
Benchmarks/Division;3;0;1000;1000;0;0:00:49.546;7300023;49.85;1357;4.92
Benchmarks/Division;3;0;1000;1000;0;0:00:46.919;7300023;47.22;1433;5.00
Benchmarks/Division;3;0;1000;1000;0;0:00:46.895;7300023;47.10;1433;5.06
Benchmarks/Division;3;0;1000;1000;0;0:00:50.434;7300023;50.65;1428;5.13
Benchmarks/Division;3;0;1000;1000;0;0:00:51.780;7300023;51.98;1275;4.85
Benchmarks/Division;3;0;1000;1000;0;0:00:46.853;7300023;47.16;1330;4.95
Benchmarks/Division;3;0;100;1000;0;0:00:47.163;7300023;47.46;1432;4.80
Benchmarks/Division;3;0;100;1000;0;0:00:51.462;7300023;51.75;1388;4.91
Benchmarks/Division;3;0;100;1000;0;0:00:48.234;7300023;48.53;1350;4.89
Benchmarks/Division;3;0;100;1000;0;0:00:46.817;7300023;47.03;1346;4.94
Benchmarks/Division;3;0;100;1000;0;0:00:45.657;7300023;45.87;1425;5.16
Benchmarks/Division;3;0;100;1000;0;0:00:52.159;7300023;52.44;1266;5.00
Benchmarks/Division;3;0;100;1000;0;0:00:47.769;7300023;48.04;1347;4.97
Benchmarks/Division;3;0;100;1000;0;0:00:49.832;7300023;50.13;1435;4.81
Benchmarks/Division;3;0;100;1000;0;0:00:51.336;7300023;51.54;1433;4.96
Benchmarks/Division;3;0;100;1000;0;0:00:46.976;7300023;47.18;1325;4.89
